area,perimeter,compactness,kernel_length,kernel_width,asymmetry,groove_length,variety
18.76,16.2,0.8984,6.172,3.796,3.12,6.053,2
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,2
18.59,16.05,0.9066,6.037,3.86,6.001,5.877,2
19.12,16.17,0.9185,6.056,3.97,3.69,5.803,2
18.55,16.22,0.8865,6.153,3.674,1.738,5.894,2
19.58,16.89,0.8617,6.393,3.768,3.736,6.386,2
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2
17.36,15.76,0.8785,6.145,3.574,3.526,5.971,2
17.99,15.86,0.8992,5.89,3.694,2.068,5.709,2
20.01,16.94,0.8761,6.317,3.891,5.928,6.021,2
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,2
17.84,15.67,0.9145,5.786,3.726,1.413,5.921,2
18.3,15.89,0.9108,5.979,3.755,2.837,5.962,2
18.94,16.32,0.8942,6.144,3.825,2.908,5.949,2
18.17,16.02,0.8902,6.136,3.656,2.031,5.897,2
18.49,16.23,0.8816,6.162,3.63,1.833,5.892,2
18.67,16.41,0.8721,6.219,3.681,2.662,5.928,2
18.56,16.24,0.8832,6.14,3.662,2.343,5.869,2
18.65,16.41,0.8698,6.285,3.594,4.391,6.102,2
18.14,16.12,0.8772,6.059,3.563,3.619,6.011,2
18.49,16.23,0.8816,6.162,3.63,1.833,5.892,2
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,2
17.51,15.66,0.8973,5.913,3.599,2.166,5.324,2
18.94,16.49,0.8745,6.308,3.694,3.034,6.132,2
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2
11.41,12.95,0.856,5.09,2.775,4.957,4.825,3
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,3
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,3
13.22,13.84,0.868,5.395,3.07,4.157,5.088,3
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,3
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,3
11.79,13.13,0.8595,5.242,2.848,3.878,5.117,3
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,3
11.85,13.13,0.8655,5.183,2.845,4.376,5.073,3
12.34,13.17,0.8941,5.017,3.069,1.621,4.712,3
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,3
12.07,13.33,0.8561,5.246,2.908,4.037,5.159,3
12.43,13.2,0.8968,5.009,3.084,2.855,4.745,3
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,3
11.77,13.16,0.8543,5.209,2.828,4.687,5.132,3
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,3
12.2,13.32,0.8652,5.224,2.967,5.469,5.121,3
11.03,12.86,0.8388,5.166,2.669,4.386,5.109,3
11.14,12.79,0.8558,5.011,2.794,6.388,5,3
12.14,13.08,0.8912,5.057,3.015,2.828,5.01,3
12.27,13.33,0.8684,5.243,2.974,5.637,5.063,3
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,3
12.1,13.15,0.8793,5.105,2.941,2.201,4.844,3
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,3
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,3
11.33,12.86,0.8602,5.052,2.863,5.656,5.018,3
11.5,13.06,0.8492,5.263,2.755,5.276,5.051,3
11.61,13.32,0.8231,5.306,2.707,5.375,5.091,3
11.46,13.01,0.8522,5.2,2.72,4.667,5.059,3
12.32,13.34,0.8728,5.202,2.985,3.556,4.869,3
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,3
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,3
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,3
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,3
12.16,13.49,0.8387,5.412,2.826,6.242,5.462,3
11.58,13.21,0.8337,5.339,2.699,4.372,5.15,3
